,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
168,2025-08-26,24712.05078,1.0,1,-0.008581142872571945,-0.008581142872571945,1.0253741565011107,1.0253741565011107
169,2025-08-28,24500.90039,1.0,1,-0.0030269462149590254,-0.0030269462149590254,1.0222704040791728,1.0222704040791728
170,2025-08-29,24426.84961,1.0,1,0.008081328123807907,0.008081328123807907,1.0305317066457942,1.0305317066457942
171,2025-09-01,24625.05078,1.0,1,-0.0018474344396963716,-0.0018474344396963716,1.0286278668797377,1.0286278668797377
172,2025-09-02,24579.59961,1.0,1,0.005495586432516575,0.005495586432516575,1.0342807802290706,1.0342807802290706
173,2025-09-03,24715.05078,1.0,1,0.0007785744382999837,0.0007785744382999837,1.035086044806582,1.035086044806582
174,2025-09-04,24734.30078,1.0,1,0.0002708106767386198,0.0002708106767386198,1.0353663571588587,1.0353663571588587
175,2025-09-05,24741.0,1.0,1,0.0012986345682293177,0.0012986345682293177,1.036710919701047,1.036710919701047
176,2025-09-08,24773.15039,1.0,1,0.0038455266039818525,0.0038455266039818525,1.0406976191233959,1.0406976191233959
177,2025-09-09,24868.59961,1.0,1,0.0041932822205126286,0.0041932822205126286,1.0450615579465958,1.0450615579465958
178,2025-09-10,24973.09961,1.0,1,0.0012965707574039698,0.0012965707574039698,1.0464165542023165,1.0464165542023165
179,2025-09-11,25005.5,1.0,1,0.004329659044742584,0.004329659044742584,1.0509471811007869,1.0509471811007869
180,2025-09-12,25114.0,1.0,1,-0.0017854896141216159,-0.0017854896141216159,1.0490707258239411,1.0490707258239411
181,2025-09-15,25069.19922,1.0,1,0.00675439415499568,0.00675439415499568,1.0561565630026235,1.0561565630026235
182,2025-09-16,25239.09961,1.0,1,0.003604969708248973,0.003604969708248973,1.0599639754194163,1.0599639754194163
183,2025-09-17,25330.25,1.0,1,0.0036785274278372526,0.0036785274278372526,1.0638630819755162,1.0638630819755162
184,2025-09-18,25423.59961,1.0,1,-0.0038048357237130404,-0.0038048357237130404,1.0598152577160762,1.0598152577160762
185,2025-09-19,25327.05078,1.0,1,-0.0049357968382537365,-0.0049357968382537365,1.054584224917908,1.054584224917908
186,2025-09-22,25202.34961,1.0,1,-0.0013042846694588661,-0.0013042846694588661,1.0532087468806945,1.0532087468806945
187,2025-09-23,25169.5,1.0,1,-0.004483689554035664,-0.004483689554035664,1.0484864858240865,1.0484864858240865
188,2025-09-24,25056.90039,1.0,1,-0.006649003829807043,-0.006649003829807043,1.0415150951643413,1.0415150951643413
189,2025-09-25,24890.84961,1.0,1,-0.009532730095088482,-0.009532730095088482,1.0315866128721791,1.0315866128721791
190,2025-09-26,24654.69922,1.0,1,-0.000803367467597127,-0.000803367467597127,1.030757869747389,1.030757869747389
191,2025-09-29,24634.90039,1.0,1,-0.000966607709415257,-0.000966607709415257,1.0297615312439508,1.0297615312439508
192,2025-09-30,24611.09961,1.0,1,0.009108779020607471,0.009108779020607471,1.0391414014759743,1.0391414014759743
193,2025-10-01,24836.30078,1.0,1,0.002330529037863016,0.002330529037863016,1.0415631506865597,1.0415631506865597
194,2025-10-03,24894.25,1.0,1,0.007340173702687025,0.007340173702687025,1.049208405134917,1.049208405134917
195,2025-10-06,25077.65039,1.0,1,0.0012214730959385633,0.0012214730959385633,1.050489984973822,1.050489984973822
